container_name	image	host_port	container_port	service_hint	port_policy	recommended_surface	risk	note
pix2pi-redis	redis:7-alpine	6379	6379	redis	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi-redis	redis:7-alpine	6379	6379	redis	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_pg_replica	postgres:16	5434	5432	postgres-replica-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_pg_replica	postgres:16	5434	5432	postgres-replica-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi-mission-control	deploy-mission-control	9101	5860	node-exporter-or-runtime	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi-mission-control	deploy-mission-control	9101	5860	node-exporter-or-runtime	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi-identity-api	deploy-identity-api	9002	9002	pix2pi-internal	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi-identity-api	deploy-identity-api	9002	9002	pix2pi-internal	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_grafana	grafana/grafana:latest	3001	3000	grafana-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_grafana	grafana/grafana:latest	3001	3000	grafana-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_loki	grafana/loki:2.9.8	3100	3100	loki	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_loki	grafana/loki:2.9.8	3100	3100	loki	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_prometheus	prom/prometheus:latest	9090	9090	prometheus	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_prometheus	prom/prometheus:latest	9090	9090	prometheus	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_node_exporter	prom/node-exporter:latest	9100	9100	node-exporter	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_node_exporter	prom/node-exporter:latest	9100	9100	node-exporter	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_nats	nats:2.10-alpine	4222	4222	nats-client	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_nats	nats:2.10-alpine	4222	4222	nats-client	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_nats	nats:2.10-alpine	8222	8222	nats-monitoring	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_nats	nats:2.10-alpine	8222	8222	nats-monitoring	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_tempo	grafana/tempo:2.6.1	3200	3200	tempo	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_tempo	grafana/tempo:2.6.1	3200	3200	tempo	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_pg	postgres:16	5433	5432	postgres-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_pg	postgres:16	5433	5432	postgres-host	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_cadvisor	gcr.io/cadvisor/cadvisor:latest	8080	8080	cadvisor	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
pix2pi_cadvisor	gcr.io/cadvisor/cadvisor:latest	8080	8080	cadvisor	internal_should_not_public	private_network_or_loopback	HIGH	evidence_only_no_docker_port_change
